Word,Conc
暗笑,2.666667
黯然,4.185185
昂首,2.222222
白人,1.62963
绑架,1.777778
榜样,2.777778
迸发,3.807692
裨益,4.125
波折,3.538462
车费,1.407407
充裕,3.153846
打字,1.444444
歹毒,3.074074
待遇,2.703704
抵抗,2.851852
地方,2.5
垫脚,1.884615
短缺,3.333333
对抗,2.925926
发亮,2.0
方言,1.925926
防身,2.814815
非法,2.925926
风俗,2.925926
隔离,2.962963
耕作,2.037037
公厕,1.222222
公演,2.076923
古物,2.148148
挂号,1.851852
怪物,2.925926
光临,2.888889
过渡,3.576923
憾事,3.56
行情,3.192308
痕迹,2.518519
欢迎,2.555556
回答,2.37037
毁灭,3.111111
肌肤,1.5
缉私,3.0
建制,3.791667
鉴定,3.038462
介入,3.076923
晶莹,3.346154
精品,2.814815
竞技,2.444444
可爱,3.0
哭泣,1.925926
夸大,3.185185
朗读,1.62963
犁田,1.576923
炼丹,2.461538
笼统,4.423077
螺丝,1.222222
落后,3.423077
面前,2.884615
描绘,2.962963
瞄准,2.148148
灭口,2.407407
民事,2.884615
飘浮,3.407407
苹果,1.259259
潜艇,1.296296
庆祝,2.807692
求雨,3.0
取景,2.769231
人证,1.884615
桑拿,1.62963
扇贝,1.185185
摄影,2.0
身家,3.296296
师资,2.962963
施展,3.5
石油,1.333333
弑父,2.703704
受训,2.962963
属性,4.259259
署长,2.041667
水池,1.222222
水质,2.923077
丝绸,1.37037
私刑,2.518519
太监,1.703704
倘佯,4.333333
讨好,3.296296
特区,2.32
天资,3.777778
铁门,1.296296
听见,2.37037
推测,3.5
外贸,2.37037
偎依,2.888889
围棋,1.296296
未婚,1.884615
文艺,3.407407
握手,1.444444
无尽,4.36
无人,2.5
溪水,1.222222
鲜花,1.148148
消沉,3.777778
薪俸,2.36
羞耻,3.346154
秀发,1.444444
序列,2.961538
学历,1.888889
雪崩,1.777778
雪糕,1.115385
引燃,2.740741
永久,3.730769
越轨,3.095238
越过,2.777778
晕倒,1.777778
杂物,2.222222
宅院,1.37037
招手,1.703704
中弹,1.925926
重复,2.814815
竹签,1.37037
主席,1.84
状元,1.851852
祖先,2.307692
鳟鱼,1.5
罢工,2.333333
办法,3.259259
帮会,2.444444
包含,4.0
被窝,1.518519
笨重,3.037037
表露,3.76
拨冗,4.142857
菠萝,1.185185
残缺,3.407407
纯朴,3.592593
辍学,2.185185
醋意,3.64
错误,2.851852
搭乘,2.148148
大权,3.296296
胆识,3.925926
地雷,1.740741
叮嘱,2.814815
盾牌,1.740741
多余,3.461538
发出,3.333333
费用,2.259259
拂晓,2.730769
搞鬼,3.615385
哽咽,2.666667
公子,2.076923
贵重,2.962963
还是,4.318182
航线,2.074074
耗材,2.62963
恒心,3.62963
侯门,3.086957
厚道,3.592593
即兴,3.925926
技能,2.962963
歼灭,3.111111
将来,3.692308
拮据,3.111111
锦旗,1.481481
韭菜,1.115385
